ID;Année;Mois ;Date ;Pays;CATPROD;Produit;CATFRAU;OBJETFRAU;LINKSOURCE;;;;;;;;;;;;;;;;;;
GFF86999;2025;janv;01/01/2025;Australia;Fish and fish products;fish;Grey market;"The Australian Border Force has seized 12 illegal fishing boats in a single month, highlighting the ongoing issue of unauthorised fishing in Australian waters. (ref: not available). The affected
territory was Australia, specifically its maritime borders.";https://maritime-executive.com/article/australian-border-force-captures-12-illegal-fishing-boats-in-a-month;;;;;;;;;;;;;;;;;;
GFF87000;2025;janv;02/01/2025;Bolivia;Cereals and bakery products;maize;Grey market;"The authorities have seized 400 quintals of contraband maize in a crackdown on smuggling
and food fraud. The seized maize is believed to have been imported illegally, avoiding customs
controls and taxes";https://elpais.bo/nacional/20250104_incautan-400-quintales-de-maiz-de-contrabando.html;;;;;;;;;;;;;;;;;;
GFF87001;2025;janv;03/01/2025;Italy;Cocoa and cocoa preparations, coffee and tea;Chocolate products;Misdescription, Mislabelling, Misbranding;The Carabinieri have seized 100 kg of chocolate products in the Caserta area, which were being sold without labels or proper certification. The seizure was part of a crackdown on counterfeit and abusive products being sold during the Befana celebrations;https://www.ilsole24ore.com/art/falsa-ricotta-bio-venduta-grande-distribuzione-e-frode-alimentare-aggravata-AGbJgw6B?refresh_ce=1;;;;;;;;;;;;;;;;;;
GFF87002;2025;janv;04/01/2025;Italy;Milk and milk products;Ricotta cheese;Counterfeit, Misdescription/ Mislabelling/ Misbranding;An investigation has uncovered a case of food fraud involving the sale of fake organic ricotta cheese in large retail stores. The counterfeit product was found to be mislabelled and did not meet the required standards for organic certification.;https://www.ilsole24ore.com/art/falsa-ricotta-bio-venduta-grande-distribuzione-e-frode-alimentare-aggravata-AGbJgw6B?refresh_ce=1;;;;;;;;;;;;;;;;;;
GFF87003;2025;janv;05/01/2025;Burkina Faso;Cereals and bakery products;Illicit goods;Grey market;The customs authorities in Burkina Faso have intercepted more than 23 trucks carrying illicit goods, including food products. The seizure is part of an effort to combat smuggling and ensure the safety of consumer goods.;https://abidjantv.net/afrique-3/burkina-faso-la-douane-a-intercepte-plus-de-23-camions-charges-de-biens-illicites/;;;;;;;;;;;;;;;;;;
GFF87004;2025;janv;06/01/2025;Italy;Cephalopods and products thereof;High-quality fish;Document forgery, Misdescription/ Mislabelling/ Misbranding;A significant quantity of high-quality fish was seized in Manfredonia, Italy, as it did not meet food safety and traceability standards.;https://www.lagazzettadelmezzogiorno.it/news/foggia/1624342/manfredonia-sequestrata-oltre-una-tonnellata-di-pesce-pregiato-non-tracciato-non-era-sicuro-per-il-consumo.html;;;;;;;;;;;;;;;;;;
GFF87005;2025;janv;07/01/2025;Italy;Confectionery;Various food products;Document forgery, Misdescription/ Mislabelling/ Misbranding;The Carabinieri NAS have carried out a series of food safety controls in the province of Brindisi, resulting in seizures and closures of food establishments.;https://www.brindisireport.it/cronaca/bilancio-controlli-carabinieri-nas-feste-brindisi.html;;;;;;;;;;;;;;;;;;
GFF87006;2025;janv;08/01/2025;Italy;Fats and oils;Olive oil;Adulteration/ Product tampering, Counterfeit;A significant anti-fraud operation has been conducted in the Puglia region of Italy, targeting the production and sale of counterfeit and adulterated olive oil. The operation, which was carried out by law enforcement agencies, aimed to protect consumers and legitimate producers from food fraud and to ensure the authenticity and quality of olive oil products.;https://olivoeolio.edagricole.it/attualita/grossa-operazione-antifrode-in-puglia-2025/;;;;;;;;;;;;;;;;;;
GFF87007;2025;janv;09/01/2025;France;Alcoholic beverages;Alcohol;Grey market;The gendarmes of Val-de-Briey have seized 6 284 bottles of alcohol, valued at approximately EUR 54 000. 10/01/2025 re;https://www.republicain-lorrain.fr/faits-divers-justice/2025/01/10/6-284-bouteilles-d-alcool-pour-une-valeur-de-54-000-la-belle-prise-des-gendarmes-de-val-de-briey;;;;;;;;;;;;;;;;;;
GFF87008;2025;janv;10/01/2025;Italy;Crustaceans and products thereof;Various fish products;Grey market;The Italian Coast Guard has conducted an operation to combat illegal fishing and food fraud in the regions of Palermo, Agrigento, and Mazara del Vallo. The operation resulted in the seizure of over 133 tonnes of fish products, including 100 tonnes in the Palermo area, and the issuance of 77 administrative sanctions worth EUR 117 533;https://www.palermotoday.it/cronaca/sequestro-prodotti-ittici-sanzioni-operazione-e-fishing-palermo-provincia.html;;;;;;;;;;;;;;;;;;
