fraud_type,classification,product_category,commodity,issue,origin,notified_by
Product tampering,Additives not compliant with EU MLsi,Cereals and bakery,biscuits,sorbic acid (E 200) (2565 mg/kg),Israel,
Product tampering,Additives not compliant with EU MLsi,products,sweets,curcumin (E 100) (399 mg/kg),Spain,
Product tampering,Additives not compliant with EU MLsi,products,,sulphur dioxide (E 220) (>360 mg/kg),United Kingdom,
Product tampering,Additives not compliant with EU MLsi,products,shrimps (frozen),sulphites (E 220 - 228) (228 mg/kg),Ecuador,
Product tampering,Additives not compliant with EU MLsi,Milk and milk,cheese,natamycin (1.62 mg/dm2),France,
Product tampering,Additives not compliant with EU MLsi,products,soft drinks,benzoic acid (E 210) (195 mg/l),Brazil,
Product tampering,Additives not compliant with EU MLsi,products,,benzoic acid (E 210) (234 mg/l),,
Product tampering,Adulteration (ingredient dilution),products,extra virgin olive oil,vegetable oils,Syria,
Product tampering,Adulteration (ingredient dilution),products,olive oil,vegetable oils,Sweden,
Product tampering,Adulteration (ingredient dilution),products,soft drinks,misdeclared selenium content (51 µg/l instead of 110 µg/l),Sweden,
Product tampering,Adulteration (ingredient substitution),products,,glaze (undeclared) (30%),China,
Product tampering,Adulteration (ingredient substitution),products,coffee,"glucose (1.61 g/100g), fructose (0.76 g/100g), xylose (0.35 g/100g)",India,
Product tampering,Adulteration (ingredient substitution),products,,water addition (W/P ratio: 8.51 9.40),Netherlands,
Product tampering,Adulteration (ingredient substitution),products,shrimps (Litopenaeus vannamei) (frozen) (organic),water addition (W/P ratio: 5.8),Honduras,
Product tampering,Adulteration (ingredient substitution),products,,water addition (W/P ratio: 6.3),Belgium,
Product tampering,Adulteration (ingredient substitution),products,shrimps (Litopenaeus vannamei) (organic) (frozen in glaze),water addition (W/P ratio: 6.1),Honduras,
Product tampering,Adulteration (ingredient substitution),CATEGORY,,"water addition (W/P ratio: 10.7), misdeclared fish meat content (52% instead of 65%)",Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,cardamom (ground),"dill (97.9%), galangal (1.1%), cardamon (1%)",Latvia,
Product tampering,Adulteration (ingredient substitution),Poultry meat and,chicken meat,water addition (W/P ratio: 3.52),Poland,
Product tampering,Adulteration (ingredient substitution),poultry meat,chicken meat,water addition (W/P ratio: 4.06),Ireland,
Product tampering,Adulteration (species substitution),products,spray-dried porcine plasma,ruminant DNA,,
Product tampering,Adulteration (species substitution),products,salami,deer and pig meat instead of chamois meat,Italy,
Product tampering,"Unapproved process (concealment, enhancement)",Cereals and bakery,bakery products,sodium dehydroacetate (E 266),Netherlands,
Product tampering,"Unapproved process (concealment, enhancement)",products,lollipops,titanium dioxide (E 171),Honduras,
Product tampering,"Unapproved process (concealment, enhancement)",products,sweets,erythrosine (E 127),Lebanon,
Product tampering,"Unapproved process (concealment, enhancement)",products,sweets,titanium dioxide (E 171),United States,
Product tampering,"Unapproved process (concealment, enhancement)",products,,rowanberry extract,,
Product tampering,"Unapproved process (concealment, enhancement)",products,food supplements,titanium dioxide (E 171),Poland,
Product tampering,"Unapproved process (concealment, enhancement)",products,palm oil,"sudan 3 (3 mg/kg), sudan 4 (>3 mg/kg)",Côte d'Ivoire,
Product tampering,"Unapproved process (concealment, enhancement)",products,yellowfin tuna (Thunnus albacares),carbon monoxide (2.7 mg/kg),Vietnam,
Product tampering,"Unapproved process (concealment, enhancement)",products,,chlorate (5.2 mg/kg),China,
